acc_num,protein,date,country,host,strain,isolate
KC953902_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Mencia,no_value,MAC1_9
KC953903_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Mencia,no_value,MAC2_27
KC953904_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Mencia,no_value,MP16_36
KC953905_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Mencia,no_value,MC12_24
KC953906_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Mencia,no_value,MAB12_32
KC953907_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Albarino,no_value,D2_2A16
KJ174518_1,CP,28_FEB_2015,no_value,no_value,no_value,no_value
KJ463738_1,coat_protein,20_Aug_2011,Spain,Vitis_vinifera_cv_Albarino,no_value,ALB5
KJ463739_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Brancellao,no_value,F49_BR6
KJ463740_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Mencia,no_value,V5_2_18
KJ463741_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Mencia,no_value,V5_3_19
KJ476947_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Albarino,no_value,1A2
KJ704369_1,coat_protein,05_Nov_2012,Brazil,Vitis_vinifera_cv_Ruby_Cabernet,no_value,RC_PE
KM058745_1,coat_protein,01_Nov_2012,South_Africa,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,GH24
KP658158_1,coat_protein,15_Jul_2014,Spain,Vitis_vinifera_cv_Albarino,no_value,1B15
KP658159_1,coat_protein,15_Jul_2014,Spain,Vitis_vinifera_cv_Albarino,no_value,2B2
KP658160_1,coat_protein,15_Jul_2014,Spain,Vitis_vinifera_cv_Albarino,no_value,3A2
KP658161_1,coat_protein,11_Jul_2014,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F10CAS1
KP658162_1,coat_protein,11_Jul_2014,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F10CAS14
KP658163_1,coat_protein,11_Jul_2014,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F10CAS15
KP658164_1,coat_protein,11_Jul_2014,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F25CAS14
KP658165_1,coat_protein,17_Jul_2014,Spain,Vitis_vinifera_cv_Mencia,no_value,V5_4_33
KP658166_1,coat_protein,17_Jul_2014,Spain,Vitis_vinifera_cv_Mencia,no_value,V5_4_35
KP658167_1,coat_protein,09_Jul_2014,Spain,Vitis_vinifera_cv_Mencia,no_value,PINA_10_25
KP658168_1,coat_protein,09_Jul_2014,Spain,Vitis_vinifera_cv_Mencia,no_value,PINA_19_36
KP658169_1,coat_protein,09_Jul_2014,Spain,Vitis_vinifera_cv_Mencia,no_value,PINA_4_11
KP658170_1,coat_protein,09_Jul_2014,Spain,Vitis_vinifera_cv_Mencia,no_value,PINA_16_36
KP658171_1,coat_protein,11_Jul_2014,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F38CA5
KP658172_1,coat_protein,11_Jul_2014,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F38CA11
KP658173_1,coat_protein,11_Jul_2014,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F38CA14
KP658174_1,coat_protein,11_Jul_2014,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F38CA15
KP658175_1,coat_protein,11_Jul_2014,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F38CA17
KP658176_1,coat_protein,11_Jul_2014,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F37CA18
KP715553_1,coat_protein,18_Sep_2011,no_value,Vitis_vinifera_cv_Zhengguo_No_5,no_value,ZZ_Z5_19
KT213466_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,AMEL1_12_23
KT213467_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,AMEL1_14_28
KT213468_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,AMEL5_18_4
KT213469_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,AMEL6_10_11
KT213470_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,AMEL7_13_2
KT213471_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,AMEL7_5_2
KT213472_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,AMEL12_3_10
KT213473_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,AMEL12_37_5
KT213474_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_3_2
KT213475_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_3_3
KT213476_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_5_6
KT213477_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_5_7
KT213478_1,coat_protein,01_Oct_2010,USA,Vitis_vinifera,GLRaV_3,LODI2_5_9
