acc_num,protein,date,country,host,strain,isolate
MG977013_1,coat_protein,2016,Iran,grapevine,no_value,p25
MG977014_1,coat_protein,2016,Iran,grapevine,no_value,p26
MH350849_1,coat_protein,01_Jan_2017,China,grapevine,no_value,GVA_f2r2
MK317836_1,coat_protein,2013,USA_Virginia,Vitis_vinifera,no_value,VGMPV13
MK317837_1,coat_protein,2011,USA_Virginia,Vitis_vinifera,no_value,VSRSB11
MK317838_1,coat_protein,2011,USA_Virginia,Vitis_vinifera,no_value,VHORO11
MK317839_1,coat_protein,2011,USA_Virginia,Vitis_vinifera,no_value,VNMRS11A
MK317840_1,coat_protein,2011,USA_Virginia,Vitis_vinifera,no_value,VNMRS11B
MK404720_1,coat_protein,2017,France,grapevine_cv_Pinot_Noir,no_value,TT2017_74_47
MK404721_1,coat_protein,2017,France,grapevine_cv_Pinot_Noir,no_value,TT2017_74_53
MK404722_1,coat_protein,2017,France,grapevine_cv_Pinot_Noir,no_value,TT2017_79
MN201918_1,coat_protein,01_Jun_2011,USA_Virginia,Vitis_vinifera,no_value,VASH5
NC_003604_2,coat_protein,17_MAY_1994,no_value,grapevine,no_value,Is_151
X75433_2,coat_protein,17_MAY_1994,no_value,grapevine,no_value,Is_151
